library,group,replicate,fastq_path_1,fastq_path_2
ALS611_Flag_S6,Flag,S6,/mnt/d/Academics/NGS/CR_reads/ALS611_Flag_S6_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/ALS611_Flag_S6_L002_R2_001.fastq.gz
EED_K23_1,K23,1,/mnt/d/Academics/NGS/CR_reads/EED_K23_1_S3_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/EED_K23_1_S3_L002_R2_001.fastq.gz
EED_K23_2,K23,2,/mnt/d/Academics/NGS/CR_reads/EED_K23_2_S5_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/EED_K23_2_S5_L002_R2_001.fastq.gz
EED_K27_1,K27,1,/mnt/d/Academics/NGS/CR_reads/EED_K27_1_S2_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/EED_K27_1_S2_L002_R2_001.fastq.gz
EED_K27_2,K27,2,/mnt/d/Academics/NGS/CR_reads/EED_K27_2_S4_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/EED_K27_2_S4_L002_R2_001.fastq.gz
EZ_K23_1,K23,1,/mnt/d/Academics/NGS/CR_reads/EZ_K23_1_S8_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/EZ_K23_1_S8_L002_R2_001.fastq.gz
EZ_K23_2,K23,2,/mnt/d/Academics/NGS/CR_reads/EZ_K23_2_S10_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/EZ_K23_2_S10_L002_R2_001.fastq.gz
EZ_K27_1,K27,1,/mnt/d/Academics/NGS/CR_reads/EZ_K27_1_S7_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/EZ_K27_1_S7_L002_R2_001.fastq.gz
EZ_K27_2,K27,2,/mnt/d/Academics/NGS/CR_reads/EZ_K27_2_S9_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/EZ_K27_2_S9_L002_R2_001.fastq.gz
F119_K23_1,K23,1,/mnt/d/Academics/NGS/CR_reads/F119_K23_1_S19_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/F119_K23_1_S19_L002_R2_001.fastq.gz
F119_K23_2,K23,2,/mnt/d/Academics/NGS/CR_reads/F119_K23_2_S23_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/F119_K23_2_S23_L002_R2_001.fastq.gz
F119_K27_1,K27,1,/mnt/d/Academics/NGS/CR_reads/F119_K27_1_S18_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/F119_K27_1_S18_L002_R2_001.fastq.gz
F119_K27_2,K27,2,/mnt/d/Academics/NGS/CR_reads/F119_K27_2_S22_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/F119_K27_2_S22_L002_R2_001.fastq.gz
F119_neg_S21,neg,S21,/mnt/d/Academics/NGS/CR_reads/F119_neg_S21_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/F119_neg_S21_L002_R2_001.fastq.gz
F119_Ollas_1,Ollas,1,/mnt/d/Academics/NGS/CR_reads/F119_Ollas_1_S20_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/F119_Ollas_1_S20_L002_R2_001.fastq.gz
F119_Ollas_2,Ollas,2,/mnt/d/Academics/NGS/CR_reads/F119_Ollas_2_S24_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/F119_Ollas_2_S24_L002_R2_001.fastq.gz
N2_Flag_S1,Flag,S1,/mnt/d/Academics/NGS/CR_reads/N2_Flag_S1_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/N2_Flag_S1_L002_R2_001.fastq.gz
N2_K23_1,K23,1,/mnt/d/Academics/NGS/CR_reads/N2_K23_1_S12_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/N2_K23_1_S12_L002_R2_001.fastq.gz
N2_K23_3,K23,3,/mnt/d/Academics/NGS/CR_reads/N2_K23_3_S16_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/N2_K23_3_S16_L002_R2_001.fastq.gz
N2_K27_1,K27,1,/mnt/d/Academics/NGS/CR_reads/N2_K27_1_S11_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/N2_K27_1_S11_L002_R2_001.fastq.gz
N2_K27_2,K27,2,/mnt/d/Academics/NGS/CR_reads/N2_K27_2_S15_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/N2_K27_2_S15_L002_R2_001.fastq.gz
N2_neg_S14,neg,S14,/mnt/d/Academics/NGS/CR_reads/N2_neg_S14_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/N2_neg_S14_L002_R2_001.fastq.gz
N2_Ollas_1,Ollas,1,/mnt/d/Academics/NGS/CR_reads/N2_Ollas_1_S13_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/N2_Ollas_1_S13_L002_R2_001.fastq.gz
N2_Ollas_4,Ollas,4,/mnt/d/Academics/NGS/CR_reads/N2_Ollas_4_S17_L002_R1_001.fastq.gz,/mnt/d/Academics/NGS/CR_reads/N2_Ollas_4_S17_L002_R2_001.fastq.gz
